"ft.idx","mz.precursor","rt","tissue03","tissue04","tissue05","tissue06","tissue07","tissue08","mz.product","int.product"
17,109.074283778476,577.409,4827,5346,5915,6014,5416,5843,96.0627594502049,707
17,109.074283778476,577.409,4827,5346,5915,6014,5416,5843,96.0646690765532,454
17,109.074283778476,577.409,4827,5346,5915,6014,5416,5843,97.0717490441858,375
17,109.074283778476,577.409,4827,5346,5915,6014,5416,5843,109.072539325921,3651.5
18,110.005742827322,508.0475,2140,1532,1803,2171,1448,1465,28.0157593478994,1726.5
18,110.005742827322,508.0475,2140,1532,1803,2171,1448,1465,30.0317744515456,7838.5
18,110.005742827322,508.0475,2140,1532,1803,2171,1448,1465,44.046490896912,147961.5
18,110.005742827322,508.0475,2140,1532,1803,2171,1448,1465,64.9655075775762,4946.5
18,110.005742827322,508.0475,2140,1532,1803,2171,1448,1465,78.980239762761,2066
18,110.005742827322,508.0475,2140,1532,1803,2171,1448,1465,80.9602571048695,990
18,110.005742827322,508.0475,2140,1532,1803,2171,1448,1465,96.9922166469944,643
18,110.005742827322,508.0475,2140,1532,1803,2171,1448,1465,108.007208119083,1342
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,28.0157733639403,1262
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,29.0112475309762,956
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,37.0044671197212,646
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,38.0122145177048,499
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,39.0203447671851,12751.5
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,40.0230949277302,331
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,41.0357764331096,21665
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,46.026105312424,1869.5
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,55.026370826759,78826
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,56.0288306569551,1588
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,56.045700605223,3142
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,65.0355086270497,14764.5
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,66.0303961813382,10590
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,67.051022739017,52362.5
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,69.0519093755181,699
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,69.0542095530631,677
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,70.0615973736868,3158.5
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,78.0305558741197,1955
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,84.0765113695541,2680
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,93.0534429667597,3786
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,94.0615788283831,4502
22,111.090324334615,58.26,126141,130444,120487,160937,136721,151599,111.087438133839,7454.5
